Neighborhood,Address Latitude,Address Longitude,Borough,City,Cluster Labels,1st Most Common Venue,2nd Most Common Venue,3rd Most Common Venue,4th Most Common Venue,5th Most Common Venue,6th Most Common Venue,7th Most Common Venue,8th Most Common Venue,9th Most Common Venue,10th Most Common Venue
"191, Prenzlauer Allee, Winsviertel, Prenzlauer Berg, Pankow, Berlin, 10405, Deutschland",52.54033520000001,13.424517199999999,Pankow,Berlin,3,Café,Breakfast Spot,Japanese Restaurant,Gourmet Shop,Bakery,Ice Cream Shop,Wine Bar,Italian Restaurant,Pizza Place,Vietnamese Restaurant
"Anna Kiryakova, 8, Kameruner Straße, Brüsseler Kiez, Wedding, Mitte, Berlin, 13351, Deutschland",52.5507395,13.346906699999998,Mitte,Berlin,5,Café,Bar,Park,Ice Cream Shop,Turkish Restaurant,Drugstore,Coffee Shop,Supermarket,Chinese Restaurant,Brewery
"41, Gottschedstraße, Gesundbrunnen, Mitte, Berlin, 13357, Deutschland",52.55109745,13.369319099999998,Mitte,Berlin,5,Bar,Café,Turkish Restaurant,Pizza Place,Chinese Restaurant,Italian Restaurant,Gym / Fitness Center,Grocery Store,Coffee Shop,Park
"9, Spanheimstraße, Gesundbrunnen, Mitte, Berlin, 13357, Deutschland",52.55158420000001,13.391006599999999,Mitte,Berlin,5,Café,Bar,Coffee Shop,Vietnamese Restaurant,Park,Trail,Garden,Tapas Restaurant,Supermarket,Turkish Restaurant
"108, Schönhauser Allee, Arnimkiez, Prenzlauer Berg, Pankow, Berlin, 10439, Deutschland",52.55171125,13.413424056284097,Pankow,Berlin,3,Café,Vietnamese Restaurant,Bakery,Coffee Shop,Bar,Organic Grocery,Playground,Italian Restaurant,Ice Cream Shop,Bistro
"Am Altonaer Holzhafen, Altona-Altstadt, Altona, Hamburg, 22767, Deutschland",53.54422020000001,9.945906405632677,Altona,Hamburg,8,Seafood Restaurant,Café,Bakery,Turkish Restaurant,Park,Bar,Ice Cream Shop,Cocktail Bar,Scenic Lookout,Furniture / Home Store
"Landungsbrücken Kaffee- und Tee-Kontor, Brücke 4, Karolinenviertel, Hamburg-Mitte, St. Pauli, Hamburg, 20359, Deutschland",53.545211800000004,9.9687047,St. Pauli,Hamburg,8,Hotel,Café,Portuguese Restaurant,Pizza Place,Boat or Ferry,Theater,Cocktail Bar,Nightclub,Coffee Shop,Bar
"15, Reimerstwiete, Altstadt, Hamburg, 20457, Deutschland",53.54487975,9.991220363669065,Altstadt,Hamburg,1,Hotel,Coffee Shop,Café,Plaza,Ice Cream Shop,Seafood Restaurant,Burger Joint,Middle Eastern Restaurant,Museum,Concert Hall
"Prizeotel Hamburg City, 28, Högerdamm, Hammerbrook, Hamburg, 20097, Deutschland",53.5457586,10.013981657604136,Hammerbrook,Hamburg,1,Hotel,Coffee Shop,Italian Restaurant,Vietnamese Restaurant,Burger Joint,Café,Movie Theater,Art Gallery,Theater,Plaza
"62, Gilbertstraße, Karolinenviertel, St. Pauli, Altona, Hamburg, 22767, Deutschland",53.55517629999999,9.955922255343307,Altona,Hamburg,8,Café,Cocktail Bar,Bar,Coffee Shop,Pizza Place,Seafood Restaurant,Ice Cream Shop,Vietnamese Restaurant,Turkish Restaurant,Brewery
"Wassertreppen, Sievekingplatz, Neustadt, Hamburg, 20355, Deutschland",53.556474699999995,9.9795017,Neustadt,Hamburg,1,Hotel,Coffee Shop,Seafood Restaurant,Steakhouse,French Restaurant,Plaza,Sushi Restaurant,Clothing Store,Restaurant,Café
"Kennedybrücke, St. Georg, Hamburg, 20099, Deutschland",53.557273543767394,10.001193665712512,St. Georg,Hamburg,1,Hotel,Coffee Shop,Vietnamese Restaurant,Steakhouse,French Restaurant,Restaurant,Clothing Store,Café,Italian Restaurant,Cocktail Bar
"Staatliche Handelsschule Am Lämmermarkt H2, 2, Wallstraße, Hohenfelde, Hamburg-Nord, Hamburg, 22087, Deutschland",53.5577565,10.023327867740859,Hamburg-Nord,Hamburg,1,Hotel,Café,Italian Restaurant,Vietnamese Restaurant,Restaurant,Theater,German Restaurant,Coffee Shop,Movie Theater,Burger Joint
"Agentur für Arbeit Hamburg, Augustenburger Straße, Altona-Nord, Altona, Hamburg, 22769, Deutschland",53.5659052,9.943490363275368,Altona,Hamburg,5,Café,Coffee Shop,Bar,Italian Restaurant,Park,Restaurant,Bakery,French Restaurant,German Restaurant,Falafel Restaurant
"Kraine Goldberger, Agathenstraße, Eimsbüttel, Hamburg, 20357, Deutschland",53.5671995,9.9659322,Eimsbüttel,Hamburg,8,Café,Coffee Shop,Park,Bar,Austrian Restaurant,French Restaurant,Burger Joint,Middle Eastern Restaurant,Beer Store,Gastropub
"55, Rothenbaumchaussee, Rotherbaum, Eimsbüttel, Hamburg, 20148, Deutschland",53.5682265,9.988007949698792,Eimsbüttel,Hamburg,1,Hotel,Café,Park,Restaurant,Steakhouse,French Restaurant,Gym / Fitness Center,Vegetarian / Vegan Restaurant,Bar,German Restaurant
"Außenalster, Schöne Aussicht, Uhlenhorst, Hamburg-Nord, Hamburg, 22085, Deutschland",53.5689488,10.007305547125247,Hamburg-Nord,Hamburg,12,Italian Restaurant,Restaurant,Hotel,Café,Ice Cream Shop,German Restaurant,Vegetarian / Vegan Restaurant,Park,Bakery,Theater
"Schule Telemannstraße, Heußweg, Eimsbüttel, Hamburg, 20255, Deutschland",53.5784127,9.9525666289635,Eimsbüttel,Hamburg,3,Café,Bar,Wine Bar,German Restaurant,Coffee Shop,Ice Cream Shop,Park,French Restaurant,Gym / Fitness Center,Middle Eastern Restaurant
"2, Hoheluftchaussee, Hoheluft-West, Eimsbüttel, Hamburg, 20253, Deutschland",53.57937625,9.975723576033666,Eimsbüttel,Hamburg,3,Café,Italian Restaurant,Gym / Fitness Center,Vietnamese Restaurant,Steakhouse,Ice Cream Shop,Park,Restaurant,Bakery,Burger Joint
"Anleger Krugkoppelbrücke, Krugkoppel, Harvestehude, Eimsbüttel, Hamburg, 20149, Deutschland",53.5798951,9.998569770714065,Eimsbüttel,Hamburg,3,Café,Italian Restaurant,Restaurant,Farmers Market,Park,Ice Cream Shop,Supermarket,Tapas Restaurant,Cocktail Bar,Vegetarian / Vegan Restaurant
"143, Weidestraße, Barmbek-Süd, Hamburg-Nord, Hamburg, 22083, Deutschland",53.58113995,10.021052508161002,Hamburg-Nord,Hamburg,9,Italian Restaurant,Supermarket,Café,Burger Joint,Ice Cream Shop,German Restaurant,Bakery,Restaurant,Drugstore,Coffee Shop
"Alfred Diestel Haus, Barmbeker Markt, Barmbek-Süd, Hamburg-Nord, Hamburg, 22081, Deutschland",53.58226355,10.043474837275262,Hamburg-Nord,Hamburg,9,Supermarket,Bakery,Café,Italian Restaurant,German Restaurant,Bar,Turkish Restaurant,Thai Restaurant,BBQ Joint,Drugstore
"19, Diedenhofer Straße, Dulsberg, Hamburg-Nord, Hamburg, 22049, Deutschland",53.5831156,10.066191472199641,Hamburg-Nord,Hamburg,9,Supermarket,Café,Drugstore,Hotel,German Restaurant,Bakery,Turkish Restaurant,Greek Restaurant,Asian Restaurant,Chinese Restaurant
"Mittelweg, Stellingen, Eimsbüttel, Hamburg, 22527, Deutschland",53.58944159801632,9.94036970596797,Eimsbüttel,Hamburg,9,Café,Supermarket,Zoo Exhibit,Bakery,Asian Restaurant,Taverna,Sushi Restaurant,Pub,Bar,German Restaurant
"67c, Grandweg, Lokstedt, Eimsbüttel, Hamburg, 22529, Deutschland",53.5905515,9.963355824996668,Eimsbüttel,Hamburg,3,Café,Bakery,Italian Restaurant,Vietnamese Restaurant,Supermarket,Gym / Fitness Center,Ice Cream Shop,Steakhouse,Tapas Restaurant,Doner Restaurant
"24, Schottmüllerstraße, Eppendorf, Hamburg-Nord, Hamburg, 20251, Deutschland",53.5913439,9.985739601673297,Hamburg-Nord,Hamburg,3,Café,Supermarket,Park,Vietnamese Restaurant,Bakery,Bistro,Gym / Fitness Center,Italian Restaurant,Sushi Restaurant,Optical Shop
"144d, Maria-Louisen-Straße, Jarrestadt, Winterhude, Hamburg-Nord, Hamburg, 22301, Deutschland",53.59236975,10.008333428964699,Hamburg-Nord,Hamburg,3,Café,Italian Restaurant,Burger Joint,Bakery,Park,Restaurant,German Restaurant,Supermarket,Farmers Market,Mediterranean Restaurant
