Address,Address Latitude,Address Longitude,Neighborhood,City,Venue,Venue Latitude,Venue Longitude,Venue Category
"Flughafen Tempelhof, Werner-Loebermann-Weg, Gartenstadt Neu-Tempelhof, Tempelhof, Tempelhof-Schöneberg, Berlin, 12101, Deutschland",52.480649150000005,13.388919072222226,Tempelhof-Schöneberg,Berlin,eurogida,52.4843633191485,13.385492769297326,Grocery Store
"Flughafen Tempelhof, Werner-Loebermann-Weg, Gartenstadt Neu-Tempelhof, Tempelhof, Tempelhof-Schöneberg, Berlin, 12101, Deutschland",52.480649150000005,13.388919072222226,Tempelhof-Schöneberg,Berlin,Crystal Club,52.48478510380544,13.391453541544502,Rock Club
"Flughafen Tempelhof, Werner-Loebermann-Weg, Gartenstadt Neu-Tempelhof, Tempelhof, Tempelhof-Schöneberg, Berlin, 12101, Deutschland",52.480649150000005,13.388919072222226,Tempelhof-Schöneberg,Berlin,Bistro Nazar,52.484477739949966,13.385193715558522,Fast Food Restaurant
"Flughafen Tempelhof, Werner-Loebermann-Weg, Gartenstadt Neu-Tempelhof, Tempelhof, Tempelhof-Schöneberg, Berlin, 12101, Deutschland",52.480649150000005,13.388919072222226,Tempelhof-Schöneberg,Berlin,Döneria,52.484188579123426,13.38457836243648,Doner Restaurant
"Flughafen Tempelhof, Werner-Loebermann-Weg, Gartenstadt Neu-Tempelhof, Tempelhof, Tempelhof-Schöneberg, Berlin, 12101, Deutschland",52.480649150000005,13.388919072222226,Tempelhof-Schöneberg,Berlin,Exozet Mittagstisch,52.481695588044566,13.389995098114014,Cafeteria
"Flughafen Tempelhof, Werner-Loebermann-Weg, Gartenstadt Neu-Tempelhof, Tempelhof, Tempelhof-Schöneberg, Berlin, 12101, Deutschland",52.480649150000005,13.388919072222226,Tempelhof-Schöneberg,Berlin,Oberelbe Marathon - Stand Berlin Marathon,52.47953504699984,13.388599234905113,Shop & Service
"Flughafen Tempelhof, Werner-Loebermann-Weg, Gartenstadt Neu-Tempelhof, Tempelhof, Tempelhof-Schöneberg, Berlin, 12101, Deutschland",52.480649150000005,13.388919072222226,Tempelhof-Schöneberg,Berlin,ABB Formula E Berlin ePrix,52.480164,13.391793,Racetrack
"Flughafen Tempelhof, Werner-Loebermann-Weg, Gartenstadt Neu-Tempelhof, Tempelhof, Tempelhof-Schöneberg, Berlin, 12101, Deutschland",52.480649150000005,13.388919072222226,Tempelhof-Schöneberg,Berlin,Silverwings Club,52.483640068013486,13.390620485739975,Nightclub
"Flughafen Tempelhof, Werner-Loebermann-Weg, Gartenstadt Neu-Tempelhof, Tempelhof, Tempelhof-Schöneberg, Berlin, 12101, Deutschland",52.480649150000005,13.388919072222226,Tempelhof-Schöneberg,Berlin,Eagle Square,52.48337705759283,13.387762527462405,Plaza
"Flughafen Tempelhof, Werner-Loebermann-Weg, Gartenstadt Neu-Tempelhof, Tempelhof, Tempelhof-Schöneberg, Berlin, 12101, Deutschland",52.480649150000005,13.388919072222226,Tempelhof-Schöneberg,Berlin,Hangar 4,52.48248593386514,13.392900354543885,Historic Site
"Flughafen Tempelhof, Werner-Loebermann-Weg, Gartenstadt Neu-Tempelhof, Tempelhof, Tempelhof-Schöneberg, Berlin, 12101, Deutschland",52.480649150000005,13.388919072222226,Tempelhof-Schöneberg,Berlin,BROT&BRÖTCHEN,52.484608889042434,13.385439484208929,Bakery
"Flughafen Tempelhof, Werner-Loebermann-Weg, Gartenstadt Neu-Tempelhof, Tempelhof, Tempelhof-Schöneberg, Berlin, 12101, Deutschland",52.480649150000005,13.388919072222226,Tempelhof-Schöneberg,Berlin,U Paradestraße,52.477961281112556,13.385738240980322,Metro Station
"Flughafen Tempelhof, Werner-Loebermann-Weg, Gartenstadt Neu-Tempelhof, Tempelhof, Tempelhof-Schöneberg, Berlin, 12101, Deutschland",52.480649150000005,13.388919072222226,Tempelhof-Schöneberg,Berlin,Tanzschule Traumtänzer,52.48394976736679,13.390274047851562,Dance Studio
"Flughafen Tempelhof, Werner-Loebermann-Weg, Gartenstadt Neu-Tempelhof, Tempelhof, Tempelhof-Schöneberg, Berlin, 12101, Deutschland",52.480649150000005,13.388919072222226,Tempelhof-Schöneberg,Berlin,H Columbiadamm / Friesenstraße,52.48408697455268,13.393428325653076,Bus Stop
"Flughafen Tempelhof, Werner-Loebermann-Weg, Gartenstadt Neu-Tempelhof, Tempelhof, Tempelhof-Schöneberg, Berlin, 12101, Deutschland",52.480649150000005,13.388919072222226,Tempelhof-Schöneberg,Berlin,Tchibo,52.483330035737104,13.383025108214008,Coffee Shop
"Hasenschänke, Columbiadamm, Tempelhof, Tempelhof-Schöneberg, Berlin, 10965, Deutschland",52.4826359,13.41626694861111,Tempelhof-Schöneberg,Berlin,Volkspark Hasenheide,52.484844873201965,13.416666984558105,Park
"Hasenschänke, Columbiadamm, Tempelhof, Tempelhof-Schöneberg, Berlin, 10965, Deutschland",52.4826359,13.41626694861111,Tempelhof-Schöneberg,Berlin,Hasenschänke,52.482683849721674,13.416296122519077,Beer Garden
"Hasenschänke, Columbiadamm, Tempelhof, Tempelhof-Schöneberg, Berlin, 10965, Deutschland",52.4826359,13.41626694861111,Tempelhof-Schöneberg,Berlin,Mmaah,52.480005868543785,13.418033952091465,Korean Restaurant
"Hasenschänke, Columbiadamm, Tempelhof, Tempelhof-Schöneberg, Berlin, 10965, Deutschland",52.4826359,13.41626694861111,Tempelhof-Schöneberg,Berlin,Freiluftkino Hasenheide,52.483665238754114,13.416401534891962,Indie Movie Theater
"Hasenschänke, Columbiadamm, Tempelhof, Tempelhof-Schöneberg, Berlin, 10965, Deutschland",52.4826359,13.41626694861111,Tempelhof-Schöneberg,Berlin,Werkstatt der Kulturen,52.48369753102815,13.422969307036398,Cultural Center
"Hasenschänke, Columbiadamm, Tempelhof, Tempelhof-Schöneberg, Berlin, 10965, Deutschland",52.4826359,13.41626694861111,Tempelhof-Schöneberg,Berlin,Tierpark Neukölln,52.48703851546645,13.416419746908826,Zoo Exhibit
"Hasenschänke, Columbiadamm, Tempelhof, Tempelhof-Schöneberg, Berlin, 10965, Deutschland",52.4826359,13.41626694861111,Tempelhof-Schöneberg,Berlin,Hundepark Hasenheide,52.48654848745812,13.413979298122738,Dog Run
"Hasenschänke, Columbiadamm, Tempelhof, Tempelhof-Schöneberg, Berlin, 10965, Deutschland",52.4826359,13.41626694861111,Tempelhof-Schöneberg,Berlin,Holmes Place,52.485419184053555,13.421833924949171,Gym / Fitness Center
"Hasenschänke, Columbiadamm, Tempelhof, Tempelhof-Schöneberg, Berlin, 10965, Deutschland",52.4826359,13.41626694861111,Tempelhof-Schöneberg,Berlin,CUBE Lodges Columbia Berlin,52.47998938749959,13.417308480464664,Hostel
"Hasenschänke, Columbiadamm, Tempelhof, Tempelhof-Schöneberg, Berlin, 10965, Deutschland",52.4826359,13.41626694861111,Tempelhof-Schöneberg,Berlin,B.Horn,52.4805271,13.4213096,Bistro
"Hasenschänke, Columbiadamm, Tempelhof, Tempelhof-Schöneberg, Berlin, 10965, Deutschland",52.4826359,13.41626694861111,Tempelhof-Schöneberg,Berlin,Sommerbad Neukölln,52.48022558193507,13.41617603156228,Pool
"Hasenschänke, Columbiadamm, Tempelhof, Tempelhof-Schöneberg, Berlin, 10965, Deutschland",52.4826359,13.41626694861111,Tempelhof-Schöneberg,Berlin,Café Blume,52.48186338742131,13.421102106112986,Café
"Hasenschänke, Columbiadamm, Tempelhof, Tempelhof-Schöneberg, Berlin, 10965, Deutschland",52.4826359,13.41626694861111,Tempelhof-Schöneberg,Berlin,BAUHAUS,52.485412,13.42186708,Hardware Store
"Hasenschänke, Columbiadamm, Tempelhof, Tempelhof-Schöneberg, Berlin, 10965, Deutschland",52.4826359,13.41626694861111,Tempelhof-Schöneberg,Berlin,Rixdorfer Höhe,52.484626,13.412658,Mountain
"Hasenschänke, Columbiadamm, Tempelhof, Tempelhof-Schöneberg, Berlin, 10965, Deutschland",52.4826359,13.41626694861111,Tempelhof-Schöneberg,Berlin,Jahnsportplatz,52.47883359397409,13.418748378753662,Soccer Field
"24, Pommersche Straße, Wilmersdorf, Charlottenburg-Wilmersdorf, 10707, Deutschland",52.4925951,13.3159061,Wilmersdorf,Berlin,Thaiwiese im Preußenpark,52.493177777374655,13.31206873172159,Street Food Gathering
"24, Pommersche Straße, Wilmersdorf, Charlottenburg-Wilmersdorf, 10707, Deutschland",52.4925951,13.3159061,Wilmersdorf,Berlin,Preußenpark,52.49274801972638,13.31295132637024,Park
"24, Pommersche Straße, Wilmersdorf, Charlottenburg-Wilmersdorf, 10707, Deutschland",52.4925951,13.3159061,Wilmersdorf,Berlin,BIO COMPANY,52.49062387825447,13.313468848806771,Organic Grocery
"24, Pommersche Straße, Wilmersdorf, Charlottenburg-Wilmersdorf, 10707, Deutschland",52.4925951,13.3159061,Wilmersdorf,Berlin,Restaurant  Zum Hax'nwirt,52.49152434969363,13.317789540479223,German Restaurant
"24, Pommersche Straße, Wilmersdorf, Charlottenburg-Wilmersdorf, 10707, Deutschland",52.4925951,13.3159061,Wilmersdorf,Berlin,Genazvale,52.48980267116557,13.312003992147847,Caucasian Restaurant
"24, Pommersche Straße, Wilmersdorf, Charlottenburg-Wilmersdorf, 10707, Deutschland",52.4925951,13.3159061,Wilmersdorf,Berlin,Paracas,52.491891,13.321121,Latin American Restaurant
"24, Pommersche Straße, Wilmersdorf, Charlottenburg-Wilmersdorf, 10707, Deutschland",52.4925951,13.3159061,Wilmersdorf,Berlin,Die gute Stube,52.493399408770166,13.32171142532367,German Restaurant
"24, Pommersche Straße, Wilmersdorf, Charlottenburg-Wilmersdorf, 10707, Deutschland",52.4925951,13.3159061,Wilmersdorf,Berlin,Nan Spa,52.49426760256519,13.322007822380952,Spa
"24, Pommersche Straße, Wilmersdorf, Charlottenburg-Wilmersdorf, 10707, Deutschland",52.4925951,13.3159061,Wilmersdorf,Berlin,Les 3 veuves de Wilmersdorf,52.489290357815726,13.319579852846745,French Restaurant
"24, Pommersche Straße, Wilmersdorf, Charlottenburg-Wilmersdorf, 10707, Deutschland",52.4925951,13.3159061,Wilmersdorf,Berlin,Rossmann,52.49009175363009,13.312969906389956,Drugstore
"24, Pommersche Straße, Wilmersdorf, Charlottenburg-Wilmersdorf, 10707, Deutschland",52.4925951,13.3159061,Wilmersdorf,Berlin,Garçon,52.489348197760535,13.319556529543785,French Restaurant
"24, Pommersche Straße, Wilmersdorf, Charlottenburg-Wilmersdorf, 10707, Deutschland",52.4925951,13.3159061,Wilmersdorf,Berlin,REWE City,52.49561560411054,13.311273407986619,Supermarket
"24, Pommersche Straße, Wilmersdorf, Charlottenburg-Wilmersdorf, 10707, Deutschland",52.4925951,13.3159061,Wilmersdorf,Berlin,Georgios,52.4967855,13.313759,Greek Restaurant
"24, Pommersche Straße, Wilmersdorf, Charlottenburg-Wilmersdorf, 10707, Deutschland",52.4925951,13.3159061,Wilmersdorf,Berlin,Flohmarkt am Fehrbelliner Platz,52.49076702278101,13.314293645977358,Flea Market
"24, Pommersche Straße, Wilmersdorf, Charlottenburg-Wilmersdorf, 10707, Deutschland",52.4925951,13.3159061,Wilmersdorf,Berlin,Hotel Wittelsbach,52.49520293380716,13.310243009321146,Hotel
"24, Pommersche Straße, Wilmersdorf, Charlottenburg-Wilmersdorf, 10707, Deutschland",52.4925951,13.3159061,Wilmersdorf,Berlin,Fehrbelliner Platz,52.490442524085424,13.314216067276945,Plaza
"24, Pommersche Straße, Wilmersdorf, Charlottenburg-Wilmersdorf, 10707, Deutschland",52.4925951,13.3159061,Wilmersdorf,Berlin,Parkcafé Berlin,52.4909664790174,13.314368867516636,Café
"24, Pommersche Straße, Wilmersdorf, Charlottenburg-Wilmersdorf, 10707, Deutschland",52.4925951,13.3159061,Wilmersdorf,Berlin,Aral,52.49217209300279,13.309260688346846,Gas Station
"24, Pommersche Straße, Wilmersdorf, Charlottenburg-Wilmersdorf, 10707, Deutschland",52.4925951,13.3159061,Wilmersdorf,Berlin,HSH Hotel Albergo Berlin,52.48984937371312,13.311623735734106,Hotel
"24, Pommersche Straße, Wilmersdorf, Charlottenburg-Wilmersdorf, 10707, Deutschland",52.4925951,13.3159061,Wilmersdorf,Berlin,Reitsport-Center Hoffschild,52.48967969919962,13.311304417925559,Accessories Store
"30, Barbarossastraße, Schöneberg, Tempelhof-Schöneberg, Berlin, 10779, Deutschland",52.4924475,13.3379616,Tempelhof-Schöneberg,Berlin,Patisserie & Café Lézard,52.494440481821265,13.337250797374928,Dessert Shop
"30, Barbarossastraße, Schöneberg, Tempelhof-Schöneberg, Berlin, 10779, Deutschland",52.4924475,13.3379616,Tempelhof-Schöneberg,Berlin,Ebe Ano,52.49405,13.337314,African Restaurant
"30, Barbarossastraße, Schöneberg, Tempelhof-Schöneberg, Berlin, 10779, Deutschland",52.4924475,13.3379616,Tempelhof-Schöneberg,Berlin,ELIXIA Vitalclub Berlin Wilmersdorf Prager Passage,52.493421773023506,13.332748503161538,Gym
"30, Barbarossastraße, Schöneberg, Tempelhof-Schöneberg, Berlin, 10779, Deutschland",52.4924475,13.3379616,Tempelhof-Schöneberg,Berlin,Viktoria-Luise-Platz,52.49576761702516,13.34186553955078,Plaza
"30, Barbarossastraße, Schöneberg, Tempelhof-Schöneberg, Berlin, 10779, Deutschland",52.4924475,13.3379616,Tempelhof-Schöneberg,Berlin,Tianfuzius 天府子 (Tianfuzius),52.49585612629839,13.340571690067874,Vegetarian / Vegan Restaurant
"30, Barbarossastraße, Schöneberg, Tempelhof-Schöneberg, Berlin, 10779, Deutschland",52.4924475,13.3379616,Tempelhof-Schöneberg,Berlin,Prager Platz,52.49324516081073,13.33285847026549,Plaza
"30, Barbarossastraße, Schöneberg, Tempelhof-Schöneberg, Berlin, 10779, Deutschland",52.4924475,13.3379616,Tempelhof-Schöneberg,Berlin,Viktoria Eis,52.49526361774536,13.340322763045137,Ice Cream Shop
"30, Barbarossastraße, Schöneberg, Tempelhof-Schöneberg, Berlin, 10779, Deutschland",52.4924475,13.3379616,Tempelhof-Schöneberg,Berlin,LandWirt,52.495929,13.337759,German Restaurant
"30, Barbarossastraße, Schöneberg, Tempelhof-Schöneberg, Berlin, 10779, Deutschland",52.4924475,13.3379616,Tempelhof-Schöneberg,Berlin,Taverna Ousia,52.488141986203104,13.338181689872261,Taverna
"30, Barbarossastraße, Schöneberg, Tempelhof-Schöneberg, Berlin, 10779, Deutschland",52.4924475,13.3379616,Tempelhof-Schöneberg,Berlin,Schöneberger Weltlaterne,52.49501739616991,13.339740443771325,German Restaurant
"30, Barbarossastraße, Schöneberg, Tempelhof-Schöneberg, Berlin, 10779, Deutschland",52.4924475,13.3379616,Tempelhof-Schöneberg,Berlin,Mr. Gyros,52.48835511272416,13.337801446613824,Greek Restaurant
"30, Barbarossastraße, Schöneberg, Tempelhof-Schöneberg, Berlin, 10779, Deutschland",52.4924475,13.3379616,Tempelhof-Schöneberg,Berlin,Cafè Engelchen,52.49342523963437,13.333295894872716,Café
"30, Barbarossastraße, Schöneberg, Tempelhof-Schöneberg, Berlin, 10779, Deutschland",52.4924475,13.3379616,Tempelhof-Schöneberg,Berlin,EDEKA Stadie,52.4935018386996,13.332596559993105,Supermarket
"30, Barbarossastraße, Schöneberg, Tempelhof-Schöneberg, Berlin, 10779, Deutschland",52.4924475,13.3379616,Tempelhof-Schöneberg,Berlin,Tafelrunde,52.495259,13.33402,German Restaurant
"30, Barbarossastraße, Schöneberg, Tempelhof-Schöneberg, Berlin, 10779, Deutschland",52.4924475,13.3379616,Tempelhof-Schöneberg,Berlin,GOJI,52.495191,13.340153,Dim Sum Restaurant
"30, Barbarossastraße, Schöneberg, Tempelhof-Schöneberg, Berlin, 10779, Deutschland",52.4924475,13.3379616,Tempelhof-Schöneberg,Berlin,Brutzelstübchen,52.488497995881296,13.339706507263283,Currywurst Joint
"30, Barbarossastraße, Schöneberg, Tempelhof-Schöneberg, Berlin, 10779, Deutschland",52.4924475,13.3379616,Tempelhof-Schöneberg,Berlin,Robbengatter,52.488251105577724,13.338194074018773,German Restaurant
"30, Barbarossastraße, Schöneberg, Tempelhof-Schöneberg, Berlin, 10779, Deutschland",52.4924475,13.3379616,Tempelhof-Schöneberg,Berlin,San Marino,52.493336335836474,13.332914922290948,Italian Restaurant
"30, Barbarossastraße, Schöneberg, Tempelhof-Schöneberg, Berlin, 10779, Deutschland",52.4924475,13.3379616,Tempelhof-Schöneberg,Berlin,Phò12 - Traditionelle Vietnamesische Küche,52.48917990142612,13.340529434644163,Vietnamese Restaurant
"30, Barbarossastraße, Schöneberg, Tempelhof-Schöneberg, Berlin, 10779, Deutschland",52.4924475,13.3379616,Tempelhof-Schöneberg,Berlin,Erdkorn,52.49359896268624,13.331308364868164,Organic Grocery
"Königskolonnaden, Potsdamer Straße, Schöneberg, Tempelhof-Schöneberg, Berlin, 10783, Deutschland",52.492442600000004,13.360303730572323,Tempelhof-Schöneberg,Berlin,Olio Sale Pepe,52.49036863057574,13.361613354078152,Pizza Place
"Königskolonnaden, Potsdamer Straße, Schöneberg, Tempelhof-Schöneberg, Berlin, 10783, Deutschland",52.492442600000004,13.360303730572323,Tempelhof-Schöneberg,Berlin,Prometeo,52.49404652290855,13.362390870410987,Pizza Place
"Königskolonnaden, Potsdamer Straße, Schöneberg, Tempelhof-Schöneberg, Berlin, 10783, Deutschland",52.492442600000004,13.360303730572323,Tempelhof-Schöneberg,Berlin,Petite Europe,52.490037,13.360622,Pizza Place
"Königskolonnaden, Potsdamer Straße, Schöneberg, Tempelhof-Schöneberg, Berlin, 10783, Deutschland",52.492442600000004,13.360303730572323,Tempelhof-Schöneberg,Berlin,Berlin Homemade Icecream,52.49262,13.356314,Ice Cream Shop
